req_text_1,req_text_2,consistency_label
provide detailed easily accessible help documentation,not provide detailed easily accessible help documentation,0
system must support multi factor authentication mfa user logins,system must not support multi factor authentication mfa user logins,0
system shall intuitive self explanatory,system shall not intuitive self explanatory,0
must able interface html browser,must not able interface html browser,0
purchasing streaming movie pre paid card via credit card processing time maximum response time 15 second,purchasing streaming movie pre paid card via credit card processing time not minimum response time 15 second,0
system shall allow hot swapping critical component minimize downtime,system shall capability perform self diagnostics identify address potential fault impact service,1
product shall provide asynchronous messaging enable parallel processing reduce overhead communication,regard intended number user amsterdam pilot projected load scenario intention system able serve 20 000 query day large part 4 peak traffic hour,1
implement consistent design pattern across different section application,implement scalable monitoring tool,1
product shall available distribution via internet binary zip file,product shall not available distribution via internet binary zip file,0
system shall easy use program administrator nursing staff member,user within 1 mile campus update location,1
system shall support 75 000 database query per hour,system shall not support 75 000 database query per hour,0
system shall provide 24 7 customer support maximum response time 30 minute,system shall not provide 24 7 customer support maximum response time 30 minute,0
unit replace representation generic answer data,product shall offer web based interface remote system management,1
allow user customize color palette,deny user customize color palette,0
product must able interface various database management system product shall communicate successfully database management system 100% transaction,provide keyboard shortcut advanced user,1
user denies user location service prompt user home screen,database updated periodically api unavailable update,1
user able search keyword product id,user able search not keyword product id,0
product must provide mechanism recovering system crash,product must not provide mechanism recovering system crash,0
adding information mandatory optional field given restaurant owner filled mandatory field form filled one optional field form restaurant owner submits form information restaurant added,adding information mandatory optional field given restaurant owner filled mandatory field form filled one optional field form restaurant not owner submits form information restaurant added,0
optimize use cpu memory resource,optimize not use cpu memory resource,0
system shall provide 24 7 customer support maximum response time 30 minute,automated deployment use automated deployment reduce human error,1
retrieve password given restaurant owner want log lost password restaurant owner enters email address ã â å retrieve passwordã â â form submits form restaurant owner receive email containing password,system shall interface faculty central server,1
primary database used store cached data active user,maintain low error rate,1
user feedback loop implement feedback loop incorporate user feedback maintenance,user feedback loop implement feedback loop incorporate not user feedback maintenance,0
use automated script database system migration reduce error manual effort,use automated script database system migration reduce error not manual effort,0
retrieve password desc given user registered user able retrieve password e mail,retrieve password desc given user registered user not able retrieve password e mail,0
implement redundant system avoid downtime,implement not redundant system avoid downtime,0
manager able perform search query reservation user 100% search query reservation user shall logons management logons,manager able perform search query reservation user 100% search query reservation user shall not logons management logons,0
system shall automatically switch backup server within 10 second event primary server failure,system shall not automatically switch backup server within 10 second event primary server failure,0
product shall respond fast keep date data display,response time generating report shall within 8 second 150 000 record,1
streaming movie buffering time take no longer 10 second plus latency user connection,streaming movie buffering time take no not longer 10 second plus latency user connection,0
provide auto complete functionality frequently used field,design application handle various user scenario gracefully,1
system shall include feature user account management auditing,system shall not exclude feature user account management auditing,0
allow user bookmark save important page quick access,deny user bookmark save important page quick access,0
continuously monitor performance metric,continuously not monitor performance metric,0
title news item available news rss feed shown title screen,product shall compliant accessibility standard wcag 2 1,1
system shall notify customer change information policy,system shall not notify customer change information policy,0
system shall provide tooltips icon button hover,system shall not provide tooltips icon button hover,0
system shall able automatically backup business data restore demand,system shall not able automatically backup business data restore demand,0
full news report shown choosing corresponding news title,select spanish preferred language given administrator want select preferred language administrator selects spanish new language web portal show text spanish,1
application shall achieve 99 95% uptime peak load hour,customer stream movie purchased within 2 day viewing period,1
registered customer purchase streaming movie,product shall platform independent product shall enable access type development environment platform,1
ensure onboarding material easily accessible well organized,ensure onboarding material easily inaccessible well organized,0
isolate heavy process prevent impact overall system performance,use distributed caching solution,1
system shall use symbol word naturally understandable user community,system shall not use symbol word naturally understandable user community,0
encryption data privacy sensitive must persisted server order basic functionality,ensure application accessible user disability,1
system shall ensure data replicated across multiple geographical location avoid data loss case regional failure,current location shown map view,1
product shall support automated deployment configuration management,system shall support 10 000 active user simultaneously,1
user access limited permission granted role level pcg hierarchy assigned role user assigned role access functionality within rf system dependent privilege permission assigned role,gui textbox accept input keyboard,1
system shall achieve 95% uptime,system shall not achieve 95% uptime,0
edit existing userã â â information given administrator logged administrator edits existing user user information updated,edit existing not userã â â information given administrator logged administrator edits existing user user information updated,0
implement tool monitor health hardware software component continuously,implement tool monitor not health hardware software component continuously,0
administrator link poi certain building floor room,product must able interface various email server product shall able send email,1
offer live preview change,offer hand lab practical experience,1
application shall achieve 99 95% uptime peak load hour,anonimization aggregation route information may shared safely without disclosing personal information,1
implement fault tolerance mechanism invisible user ensuring continued service availability failure,implement fault tolerance mechanism invisible user ensuring not continued service availability failure,0
possible search certain building campus tu e name,possible not search certain building campus tu e name,0
use continuous deployment quick release,use continuous deployment not quick release,0
admin login account security gist security account scale admin try log web portal non existing account admin not logged admin notified log failure meter 1000 attempt log non existing user account testing must 100% time,admin login account security gist security account scale admin try log web portal non existing account admin not logged admin not notified log failure meter 1000 attempt log non existing user account testing must not 100% time,0
deploy application across multiple region without user needing select aware geographic location,deploy application across multiple region without user needing not select aware geographic location,0
include easily accessible user profile section personal setting,exclude easily accessible user profile section personal setting,0
system shall ability detect correct transient fault automatically,program administrator nursing staff member people shall access clinical site detail,1
product shall include comprehensive user guide covering functionality,32 user shall able view least 25 nfl player statistic point page,1
establish document recovery time objective rto recovery point objective rpo,adopt devops practice better collaboration,1
user privilege must reviewed adjusted regularly ensure user access data function necessary role,wcs system shall ability connect designated wcs database currently not included system,1
system shall include real time monitoring detect respond anomaly lead failure,system shall not include real time monitoring detect respond anomaly lead failure,0
system shall allow remote system management monitoring,team owner need use username password order authenticated reach team owner page,1
ensure application user interface adapts well different resolution,ensure application user interface adapts not well different resolution,0
database use generic representation r4 2 2 1 table name column header easier retrieval data,database use generic representation r4 2 2 1 table not name column header easier retrieval data,0
product must support mozilla firefox 1 0,regularly backup data ensure quick recovery,1
product shall protect identity player product shall provide player no access information might reveal identity another player,product shall not protect identity player product shall not provide player no access information might reveal identity another player,0
implement distributed logging better analysis,implement distributed logging not better analysis,0
allow user customize color palette,user click link browse site home page system respond list link site z sorted site name,1
use data compression reduce bandwidth usage,use data not compression reduce bandwidth usage,0
system shall ensure critical business function continue operating system upgrade maintenance activity,system shall not ensure critical business function continue operating system upgrade maintenance activity,0
system shall provide option user save work periodically auto save interval,system shall not provide option user save work periodically auto save interval,0
sub apps launcher main app deleted qualified programmer,user interface must gui based,1
application portability desc application portable io android,application portability desc application not portable io android,0
product shall continue operate upgrade change new resource addition product shall able continue operate no interruption service due new resource addition,product shall not continue operate upgrade change new resource addition product shall not able continue operate no interruption service due new resource addition,0
administrator modify list news rss feed available english,product shall able handle 10 000 concurrent user within 2 year initial launch,1
backup recovery implement reliable backup recovery procedure,system shall reveal private information compliance organization information policy,1
main menu contains launcher employee finder app 3 1 6,main not menu contains launcher employee finder app 3 1 6,0
provide visual feedback user perform action like saving submitting,not provide visual feedback user perform action like saving submitting,0
product shall ensure supervisor view schedule caller product must ensure supervisor allowed access view caller schedule,product shall not ensure supervisor view schedule caller product must not ensure supervisor allowed access view caller schedule,0
ensure code modularity easier maintenance,ensure not code modularity easier maintenance,0
ensure high availability failover mechanism,ensure high availability not failover mechanism,0
allow user customize interface suit preference,deny user customize interface suit preference,0
encryption data privacy sensitive must persisted server order basic functionality,test coverage maintain high test coverage ensure reliability,1
unit list generic word related specifically potential query example building professor,unit list generic word related specifically potential query not example building professor,0
system must use point click interface 100% selection navigation functionality must able activated selected either mouse keyboard,authorized personnel access customer record database,1
mobile application search desc given user logged mobile application first page shown search page user able search restaurant according several search option search option price destination restaurant type specific dish also free text search option user able select multiple search option one search,design constraint use ã â å waterfall methodã â â object ã â â œ oriented programming paradigm use java programming language android version device 2 3 higher system requires internet connection time,1
implement sharded database distribute load,implement not sharded database distribute load,0
allow user customize color palette,administrator remove vertex path used route planner,1
use snapshot backup quick recovery,use snapshot not backup quick recovery,0
system shall granularly control access right major subsystem possible assign access right subsystem independently,edit existing restaurant owner given administrator logged administrator edits existing restaurant owner restaurant owner information updated,1
application shall handle 250 concurrent file uploads,application shall not handle 250 concurrent file uploads,0
designated phone number user send text ã â â ¹,designated phone number user send text ã â not â ¹,0
system shall provide onboarding tutorial new user completed less 10 minute,system shall not provide onboarding tutorial new user completed less 10 minute,0
system shall employ load balancing distribute user request evenly across redundant server,system shall not employ load balancing distribute user request evenly across redundant server,0
user required input data cell phone keypad,use middleware solution designed high availability manage system communication,1
button style maintain consistent button style,button not style maintain consistent button style,0
deploy high availability network appliance,deploy not high availability network appliance,0
performance monitoring implement performance monitoring identify bottleneck,system shall include mechanism real time data replication ensure no data loss component failure,1
administrator change color used user interface sub apps main app not include external resource,continuously monitor availability third party service integrated system,1
create disaster recovery plan address various failure scenario,create disaster recovery plan not address various failure scenario,0
product shall allow intuitive searching available conference room,product shall not allow intuitive searching available conference room,0
product shall available normal business hour long user access client pc system available 99% time first six month operation,adjuster request recycled part audit report no user without adjuster role shall request recycled part audit,1
product shall include automated system health check,product shall not exclude automated system health check,0
provide visual feedback user perform action like saving submitting,mobile application search restaurant type desc user able select restaurant type given list input result displayed map view default,1
use loading animation indicate progress,product shall updated regular basis product new major feature introduced every six month quarterly maintenance release every six month,1
splitpay not affect data stored outside server nor affect application installed userã â â phone cannot cause damage phone internal component potential safety concern associated application applies virtually handset apps splitpay not used operating vehicle situation userã â â attention must focused elsewhere,splitpay not affect data stored outside server nor affect application installed userã â â phone cannot cause damage phone internal component potential safety concern associated application applies virtually handset apps splitpay not used operating vehicle situation userã â â attention must not focused elsewhere,0
load balancer use load balancer distribute traffic prevent overload,load balancer use load balancer distribute not traffic prevent overload,0
system shall enforce role based access control rbac restrict access data functionality based user role,ensure interactive element labeled accessible name,1
document scalability guideline best practice,include feature user provide feedback easily,1
system must support multi factor authentication mfa user logins,use cloud service provide elastic resource scale demand,1
include tooltips additional information complex feature,exclude tooltips additional information complex feature,0
system shall provide automated testing redundant system ensure readiness failover,system shall not provide automated testing redundant system ensure readiness failover,0
implement structured release management process,implement not structured release management process,0
product shall provide gui based monitoring service system administrator shall monitor message exchange predict determine problem provide internal external support,product shall not provide gui based monitoring service system administrator shall not monitor message exchange predict determine problem not provide internal external support,0
adopt minimalist design approach,interface user automated system shall maximum response time 5 second unless noted exception,1
possible ã â å likeã â â certain topic,location selected search result described ucar215 ucar216,1
product shall include mechanism tracking system change update,product shall not exclude mechanism tracking system change update,0
product shall provide immediate feedback user input error,contrast ensure sufficient contrast readability,1
design system distributed system support large scale operation,design system distributed not system support large scale operation,0
unit receive output sentence generic question construction unit input r4 2 1 3,route traffic balance load without user awareness ensuring consistent performance availability,1
product shall comply city chicago application development guide framework application development framework provide structured graphical user interface,product shall not comply city chicago application development guide framework application development framework not provide structured graphical user interface,0
product shall include tool easy troubleshooting diagnostics,set automatic reboots critical service recover unexpected failure,1
application assumes user whoever allows access android handset said google email address required verify identity user upon opening app since not password protected no method authenticate userã â â identity could pose thread user set paypal functionality however transaction involving real currency must authorized confirmed becoming final paypal api provides security check needed ensure no fraudulent transaction occur,collision estimator shall search recycled part user without collision estimator role shall not access search recycled part,1
user select topic search result described requirement ucar703,system must use web application firewall wafs protect common web based attack,1
system must documented process applying testing security patch,implement resource scaling transparent user ensuring experience no disruption scaling event,1
application collect list site sorted name,implement feature accommodate different user skill level,1
include history undo feature recover accidental action,include history undo not feature recover accidental action,0
system shall support multi tiered backup solution ensure comprehensive fault tolerance,create disaster recovery plan address various failure scenario,1
user privilege must reviewed adjusted regularly ensure user access data function necessary role,restaurant owner create account security gist security creating account restaurant owner system scale restaurant owner want create account desired user name occupied restaurant owner asked choose different user name meter measurement obtained 1000 hour usage testing must 100% time,1
third party library keep third party library date,third party not library keep third party library date,0
use multiple geographic data center provide redundancy geographic failover,geo redundancy use geo redundancy ensure availability across different geographic location,1
provide option user adjust text size color readability,provide customizable logging level adapt logging verbosity based operational need troubleshooting requirement,1
10000 user able use system time,10000 user not able use system time,0
ensure clear logical navigation path,service contract establish service contract provider ensure high availability,1
application must able link internal system order user properly log identified information must kept secure,application must not able link internal system order user properly log identified information must not kept secure,0
accuracy generic answer populationã â â ¹ unit close 70%,document scalability guideline best practice,1
product shall process message within 2 second product shall maximum message processing time 2 second,product shall not process message within 2 second product shall not maximum message processing time 2 second,0
system must prevent unauthorized privilege escalation proper access control monitoring,product shall support multi language interface seamless switching language,1
required information registration given restaurant owner want create account restaurant owner not account restaurant owner register web portal providing user name password address e mail address phone number restaurant owner able apply verification,required information registration given restaurant owner want create account restaurant owner not account restaurant owner register web portal providing user name password address e mail address phone number restaurant owner not able apply verification,0
product shall support automated deployment configuration management,system shall maintain data processing speed maximum 15 000 record per minute,1
system alert set alert availability issue,system alert set alert not availability issue,0
system shall complete batch job within 20 minute,system shall easy learn caller supervisor caller supervisor shall learn use system within 10 minute,1
product shall ensure company employee external user company approved user id may product access 100% logons shall either company employee external user company approved user id,system must use valid ssl tl certificate secure communication,1
possible search certain poi campus tu e name,product shall scalable handle increasing amount data user,1
product shall offer web based interface remote system management,product shall provide visual indication current step multi step process,1
system must support integration security information event management siem system,system must not support integration security information event management siem system,0
implement effective log management practice,system must support real time update without requiring user intervention,1
regularly review improve availability strategy,regularly review not improve availability strategy,0
system shall automatically reconfigure network setting handle change network topology failure,system shall not automatically reconfigure network setting handle change network topology failure,0
deploy function faa environment better scalability,deploy function faa environment not better scalability,0
text sent number sent api system reply user answer another text message,text sent number not sent api system reply user answer another text message,0
system dependability gist fault tolerance system scale system loses connection internet gps device system get strange input user informed meter measurement obtained 1000 hour usage testing must 100% time,system shall maintain database query response time 1 5 second 95% query,1
system must monitor record user activity detect respond potential security incident,product shall provide visual indication current step multi step process,1
implement configurable build process streamline automate software build,user location information deleted nightly via cron job,1
uptime slas define adhere strict uptime service level agreement slas,provide visual feedback user action,1
include mechanism user easily report issue provide feedback,exclude mechanism user easily report issue not provide feedback,0
optimize use cpu memory resource,user able navigate using sub navigation icon access catalogue pdf 360 video contact rep representative,1
utilize continuous data protection technology ensure minimal data loss,update page link site nearby,1
product shall support efficient data processing minimal latency,website shall attractive audience website shall appear fun color bright vibrant,1
system shall support 1 200 concurrent api call,website shall protect intentional abuse notify administrator occurrence,1
user allows location service create user,update page link site nearby,1
accuracy generic question constructionã â â ¹ part close 80%,accuracy generic not question constructionã â â ¹ part close 80%,0
include tooltips additional information complex feature,include not tooltips additional information complex feature,0
color scheme use cohesive color scheme aligns brand,system shall comply industry standard security protocol,1
use interactive map location based feature,credit card information encrypted database,1
product shall undergo usability testing diverse group end user,possible navigate poi campus building campus,1
product shall include information security product shall enable privacy encryption w security integrity checking,product shall not include information security product shall not enable privacy encryption w security integrity checking,0
system availability gist availability system used scale average system availability not considering network failing meter measurement obtained 1000 hour usage testing must 98% time plan 99% time wish 100% time,system shall utilize currently owned computer equipment,1
documentation update ensure documentation updated every change,documentation not update ensure documentation updated every change,0
implement monitoring resource utilization identify address potential issue proactively,product shall easy customer novice skill internet purchase watch streaming movie customer able purchase watch pre determined movie 3 minute,1
user shall able reach add drop trade player page one click team owner page,link facebook setting menu,1
response time user authentication shall 2 second,response time user authentication shall not 2 second,0
credit card information encrypted database,case user edit item already put system user add remove picture change price detail item,1
application shall support 300 concurrent system integration,application shall not support 300 concurrent system integration,0
implement drag drop functionality applicable,implement not drag drop functionality applicable,0
system able return search result desending order form list link site,system shall let administrator de activate customer account 1 minute customer no longer able access website,1
perform regular availability audit identify address potential weakness,perform regular availability not audit identify address potential weakness,0
implement incident management process handle maintenance issue effectively,implement incident not management process handle maintenance issue effectively,0
system shall support 3 tb data storage consistent performance,system shall not support 3 tb data storage consistent performance,0
design intuitive user interface easy understand,provide user guide pdf video interactive format,1
regard intended number user amsterdam pilot projected load scenario intention system able serve 20 000 query day large part 4 peak traffic hour,regard intended number user amsterdam not pilot projected load scenario intention system able serve 20 000 query day large part 4 peak traffic hour,0
product shall designed modular upgrade feature enhancement,user must receive security awareness training onboarding least annually thereafter,1
system must capable handling system upgrade patch minimal disruption,mobile application selecting information link desc user able select information link included result item link direct user information page includes picture restaurant restaurant name address phone number e mail address type food average price restaurant description menu name description price different dish,1
password must adhere complexity requirement stored securely using hashing algorithm,password must not adhere complexity requirement stored securely using hashing algorithm,0
tu e related facebook site selected list see content list requirement ucar803,system shall predefined recovery plan various type failure,1
anonimization aggregation route information may shared safely without disclosing personal information,system shall predefined recovery plan various type failure,1
user allows location service create user,user not allows location service create user,0
system shall provide tool managing system performance resource utilization,product shall allow user easily import export data,1
product shall ensure supervisor view schedule caller product must ensure supervisor allowed access view caller schedule,adopt devops practice better collaboration,1
system shall automatically redirect user traffic backup server primary server fails,automated testing include unit test integration test regression test,1
service resilience ensure service resilient recover quickly failure,user shall able reach add drop trade player page one click team owner page,1
system shall support multi tiered backup solution ensure comprehensive fault tolerance,adjust network configuration bandwidth allocation transparently maintain performance peak load,1
system shall let administrator add remove category website 5 minute,system able display no result found case no search result found,1
product shall supported using corporate support center,product shall not supported using corporate support center,0
system shall provide user option customize notification preference,system shall offer tool administrator simulate fault test recovery procedure,1
administrator change background used user interface sub apps main app not include external resource,administrator change background used user interface sub apps main app not exclude external resource,0
response time generating complex analytics shall 15 second,possible search person department,1
provide clear helpful error message,not provide clear helpful error message,0
document scalability guideline best practice,document scalability not guideline best practice,0
use scalable file storage solution,replicate data across server region background ensuring user not experience delay inconsistency,1
feedback form make feedback form easily accessible,use external monitoring service provide independent check system availability,1
authorized personnel access sale information,authorized personnel access not sale information,0
system shall provide user friendly interface monitoring managing fault tolerance setting,include easily accessible user profile section personal setting,1
interface shall provide real time progress indicator ongoing process e g file uploads,interface shall not provide real time progress indicator ongoing process e g file uploads,0
credit card information encrypted database,credit not card information encrypted database,0
use service level monitoring tool ensure compliance availability metric,document scalability guideline best practice,1
show field managing information given restaurant owner logged restaurant owner want manage information restaurant owner able manage information form,show field managing information given restaurant owner logged restaurant owner want manage information restaurant owner not able manage information form,0
use tooltips explain function button icon,use tooltips explain function not button icon,0
product shall use standard navigation menu familiar web user,product shall not use standard navigation menu familiar web user,0
use scalable storage solution like distributed file system,use not scalable storage solution like distributed file system,0
system shall interface faculty central server,implement hover effect interactive element,1
system shall offer continuous service maintaining operational mirror active passive configuration,design constraint use ã â å waterfall methodã â â object ã â â œ oriented programming paradigm use java programming language android version device 2 3 higher system requires internet connection time,1
regularly perform capacity planning prepare future growth,design data pipeline scale data volume,1
scalability maintenance system support scalability without extensive rework,scalability maintenance system support scalability without not extensive rework,0
system shall ensure failed component replaced repaired within predefined time frame,system shall not ensure failed component replaced repaired within predefined time frame,0
design user interface responsive element varying screen size,use static code analysis tool identify issue,1
system shall support recovery failure without requiring manual intervention standard fault,system shall not support recovery failure without requiring manual intervention standard fault,0
system shall ensure user easily access last used document file main dashboard within one click,system shall not ensure user easily access last used document file main dashboard within one click,0
authorized user shall access portion system interface campusconnect,authorized user shall not access portion system interface campusconnect,0
isolate heavy process prevent impact overall system performance,isolate heavy process prevent not impact overall system performance,0
use interactive map location based feature,use interactive map not location based feature,0
possible pan map view,system shall allow quick rollback previous stable state new update cause failure,1
third party service integrated system must adhere organization security standard undergo security assessment,third party service integrated system must not adhere organization security standard undergo security assessment,0
system shall include self healing mechanism automatically address correct fault,system shall not include self healing mechanism automatically address correct fault,0
adjuster supervisor role update preferred repair facility rating user without supervisor role cannot access repair facility rating,adjuster supervisor role update preferred not repair facility rating user without supervisor role cannot access repair facility rating,0
mobile application navigation restaurant desc user able select pin map element list selection made location restaurant sent mobile phoneã â â gps navigation program user navigated destination destination reached user able go back search page mobile application,mobile not application navigation restaurant desc user able select pin map element list selection made location restaurant sent mobile phoneã â â gps navigation program user navigated destination destination reached user able go back search page mobile application,0
design deployment strategy support scalability efficient rollouts new feature update,use scalable identity management solution,1
system shall cater 10 simultaneous user 9am 5pm,system shall not cater 10 simultaneous user 9am 5pm,0
product shall available normal business hour long user access client pc system available 99% time first six month operation,design touch interaction adequate spacing touch target,1
website african feel not alienate non african website use animation page describing service grab user attention encourage sign,website not african feel not alienate non african website not use animation page describing service grab user attention encourage sign,0
optimize network operation reduce latency,product shall translated foreign language target market country language future release emerging target market shall take no 5 day configure product market language,1
typography use legible aesthetically pleasing font,typography use legible not aesthetically pleasing font,0
product shall offer option view tutorial training video directly within application,unit receive input mapping generic question construction unit,1
system must provide user friendly interface managing system setting,system must not provide user friendly interface managing system setting,0
user within 1 mile campus update location,ensure redundant internet connection maintain connectivity outage,1
accessibility follow accessibility guideline ensure inclusivity,accessibility follow not accessibility guideline ensure inclusivity,0
overall accuracy calculated dividing total number correct answer number question asked,overall not accuracy calculated dividing total number correct answer number question asked,0
program administrator nursing staff member people shall access clinical site detail,possible switch stylistic map view satellite map view,1
retrieve password given restaurant owner want log lost password restaurant owner enters email address ã â å retrieve passwordã â â form submits form restaurant owner receive email containing password,retrieve password given restaurant owner want log lost password restaurant owner enters email address ã â å retrieve not passwordã â â form submits form restaurant owner receive email containing password,0
ensure performance not compromised security measure,ensure performance not not compromised security measure,0
maintain parity development production environment,maintain parity development not production environment,0
product shall include built security feature encryption authentication,system shall use error correction mechanism maintain data consistency across redundant system,1
implement horizontal scaling database,implement horizontal not scaling database,0
promotional update website take day update,product shall designed modular upgrade feature enhancement,1
implement responsive typography better readability,product shall interface choiceparts system per day approximately 1,1
product shall rollback capability revert previous stable state,response time shall fast enough maintain flow game response time shall no 2 second 95% response no 4 second remaining response,1
restaurant owner login account security gist security account scale restaurant owner try log web portal non existing account restaurant owner not logged restaurant owner notified log failure meter 1000 attempt log non existing user account testing must 100% time,restaurant owner login account security gist security account scale restaurant owner try log web portal non existing account restaurant owner not logged restaurant owner notified log failure meter 1000 attempt log non existing user account testing must not 100% time,0
product shall support integration industry standard tool system,product shall not support integration industry standard tool system,0
unit generate generic answer sentence using input example ã â å time building close ã â â becomes ã â å building close closetime ã â â unit output generic answer sentence described,unit generate generic answer sentence not using input example ã â å time building close ã â â becomes ã â å building close closetime ã â â unit output generic answer sentence described,0
system shall support internationalization localization,administrator change color used user interface sub apps main app not include external resource,1
dispute application shall available 24x7x365 exception following scheduled maintenance window monday saturday 3,application shall achieve minimum 97% success rate processing real time transaction,1
product shall include comprehensive quality assurance testing strategy,product shall not include comprehensive quality assurance testing strategy,0
designated phone number user send text ã â â ¹,replicate data across server region background ensuring user not experience delay inconsistency,1
user shall able use system without instruction short amount time one use user understand remember 90% system usage navigation,user shall not able use system without instruction short amount time one use user not understand remember 90% system usage navigation,0
usage result list view desc result displayed list view user friendly easy understand selecting element result list take one click,usage result list view desc result displayed not list view user friendly easy understand selecting element result list take one click,0
system must ensure data integrity checksum validation mechanism,system must not ensure data integrity checksum validation mechanism,0
ensure application compatible popular assistive technology,application respond list link 3 nearest site z sorted name,1
offensive player take shot product shall simulate sound ship sea,application shall run web application server,1
application shall downtime 10 minute per year,database updated periodically api unavailable update,1
system shall maintain consistent security change user password permission take effect part system,system shall not maintain consistent security change user password permission take effect part system,0
perform regular security audit,perform not regular security audit,0
code quality tool use static code analysis tool maintain code quality,code quality not tool use static code analysis tool maintain code quality,0
non functional requirement security heading removed,product shall scalable handle increasing amount data user,1
product shall include option user revert previous version application needed,product shall not include option user revert previous version application needed,0
case user no longer wish use system click ã â å delete profileã â â button deleting profile user no longer able use system account detail entered,product shall ensure supervisor view schedule caller product must ensure supervisor allowed access view caller schedule,1
product shall simulate look ship sea,product shall not simulate look ship sea,0
collision estimator shall search recycled part user without collision estimator role shall not access search recycled part,collision estimator shall not search recycled part user without collision estimator role shall not not access search recycled part,0
allow user customize profile,not allow user customize profile,0
use data partitioning strategy handle large datasets,use data partitioning not strategy handle large datasets,0
system shall include search function provides relevant result within 2 second entering query,system shall not include search function provides relevant result within 2 second entering query,0
include hover effect give user visual feedback clickable item,include hover effect give not user visual feedback clickable item,0
system shall include real time monitoring detect respond anomaly lead failure,system shall expected manage nursing program curriculum class clinical scheduling minimum 5 year,1
overall accuracy web apiã â â response measured using developer made testing set,product must highly configurable use various database management system end user 80% end user able integrate new database management system product without changing product software code,1
product shall support automated deployment configuration management,product shall not support automated deployment configuration management,0
product shall security product shall provide authentication authorization,possible ã â å tweetã â â insapption within main menu,1
backup data must encrypted stored secure location access limited authorized personnel,backup data must not encrypted stored secure location access limited authorized personnel,0
gui chat window displaying question sent system response api,system shall let administrator generate unique pre paid pin 2 minute generate excel file generated pin,1
